Time (s) Z (um)	Deflection (V)
0.01	-0.6	-0.866115
0.01076	-0.6013	-0.861843
0.01152	-0.6026	-0.859096
0.01228	-0.6039	-0.858486
0.01304	-0.6052	-0.857875
0.0138	-0.6065	-0.859096
0.01456	-0.6078	-0.858486
0.01532	-0.6091	-0.855739
0.01608	-0.6104	-0.858791
0.01684	-0.6117	-0.856044
0.0176	-0.613	-0.855434
0.01836	-0.6143	-0.850551
0.01912	-0.6156	-0.862453
0.01988	-0.6169	-0.85696
0.02064	-0.6182	-0.857265
0.0214	-0.6195	-0.85757
0.02216	-0.6208	-0.861232
0.02292	-0.6221	-0.866726
0.02368	-0.6234	-0.861843
0.02444	-0.6247	-0.861843
0.0252	-0.626	-0.85757
0.02596	-0.6273	-0.856044
0.02672	-0.6286	-0.856349
0.02748	-0.6299	-0.859401
0.02824	-0.6312	-0.860012
0.029	-0.6325	-0.858791
0.02976	-0.6338	-0.852382
0.03052	-0.6351	-0.857875
0.03128	-0.6364	-0.856044
0.03204	-0.6377	-0.850856
0.0328	-0.639	-0.855434
0.03356	-0.6403	-0.852992
0.03432	-0.6416	-0.857265
0.03508	-0.6429	-0.856349
0.03584	-0.6442	-0.856655
0.0366	-0.6455	-0.852992
0.03736	-0.6468	-0.85696
0.03812	-0.6481	-0.850551
0.03888	-0.6494	-0.851161
0.03964	-0.6507	-0.854213
0.0404	-0.652	-0.853603
0.04116	-0.6533	-0.853298
0.04192	-0.6546	-0.855434
0.04268	-0.6559	-0.857265
0.04344	-0.6572	-0.859706
0.0442	-0.6585	-0.861538
0.04496	-0.6598	-0.856349
0.04572	-0.6611	-0.861232
0.04648	-0.6624	-0.862758
0.04724	-0.6637	-0.860012
0.048	-0.665	-0.860622
0.04876	-0.6663	-0.856655
0.04952	-0.6676	-0.852382
0.05028	-0.6689	-0.854518
0.05104	-0.6702	-0.85696
0.0518	-0.6715	-0.853298
0.05256	-0.6728	-0.856349
0.05332	-0.6741	-0.857875
0.05408	-0.6754	-0.856655
0.05484	-0.6767	-0.85818
0.0556	-0.678	-0.855129
0.05636	-0.6793	-0.854518
0.05712	-0.6806	-0.855129
0.05788	-0.6819	-0.856349
0.05864	-0.6832	-0.853603
0.0594	-0.6845	-0.851772
0.06016	-0.6858	-0.858791
0.06092	-0.6871	-0.849635
0.06168	-0.6884	-0.84994
0.06244	-0.6897	-0.858486
0.0632	-0.691	-0.856044
0.06396	-0.6923	-0.855129
0.06472	-0.6936	-0.857875
0.06548	-0.6949	-0.854823
0.06624	-0.6962	-0.856349
0.067	-0.6975	-0.860317
0.06776	-0.6988	-0.85696
0.06852	-0.7001	-0.856044
0.06928	-0.7014	-0.860317
0.07004	-0.7027	-0.854823
0.0708	-0.704	-0.851772
0.07156	-0.7053	-0.854213
0.07232	-0.7066	-0.848109
0.07308	-0.7079	-0.853908
0.07384	-0.7092	-0.856655
0.0746	-0.7105	-0.852382
0.07536	-0.7118	-0.852687
0.07612	-0.7131	-0.84872
0.07688	-0.7144	-0.851772
0.07764	-0.7157	-0.856349
0.0784	-0.717	-0.852382
0.07916	-0.7183	-0.854213
0.07992	-0.7196	-0.856044
0.08068	-0.7209	-0.85696
0.08144	-0.7222	-0.855739
0.0822	-0.7235	-0.853603
0.08296	-0.7248	-0.863369
0.08372	-0.7261	-0.860927
0.08448	-0.7274	-0.855129
0.08524	-0.7287	-0.854518
0.086	-0.73	-0.855739
0.08676	-0.7313	-0.859401
0.08752	-0.7326	-0.857265
0.08828	-0.7339	-0.855739
0.08904	-0.7352	-0.858486
0.0898	-0.7365	-0.856349
0.09056	-0.7378	-0.85696
0.09132	-0.7391	-0.857265
0.09208	-0.7404	-0.854518
0.09284	-0.7417	-0.854518
0.0936	-0.743	-0.855129
0.09436	-0.7443	-0.856349
0.09512	-0.7456	-0.855739
0.09588	-0.7469	-0.853603
0.09664	-0.7482	-0.855129
0.0974	-0.7495	-0.851466
0.09816	-0.7508	-0.852687
0.09892	-0.7521	-0.854213
0.09968	-0.7534	-0.854518
0.10044	-0.7547	-0.84994
0.1012	-0.756	-0.84872
