t,v
0.0,1.239625
0.012,1.155625
0.023,1.130375
0.034,1.08825
0.044,1.1065
0.055,1.12175
0.065,1.188375
0.076,1.294625
0.086,1.441125
0.097,1.557625
0.107,1.648875
0.118,1.7295
0.128,1.782875
0.139,1.8155
0.149,1.82325
0.16,1.814
0.17,1.808875
0.181,1.8265
0.191,1.799375
0.202,1.8
0.212,1.7915
0.223,1.79
0.233,1.775
0.244,1.773625
0.254,1.7675
0.265,1.7585
0.276,1.765
0.286,1.763375
0.297,1.757625
0.307,1.77175
0.318,1.761875
0.328,1.775125
0.339,1.769375
0.349,1.771
0.36,1.775
0.37,1.755875
0.381,1.76875
0.391,1.752125
0.402,1.772375
0.413,1.74325
0.423,1.763875
0.434,1.743875
0.444,1.757625
0.455,1.74375
0.465,1.73775
0.477,1.731625
0.488,1.72975
0.498,1.73
0.509,1.71975
0.519,1.729125
0.53,1.711125
0.54,1.724
0.551,1.698375
0.563,1.70375
0.574,1.69675
0.585,1.6835
0.596,1.656625
0.607,1.619125
0.618,1.58675
0.63,1.574375
0.641,1.654125
0.652,1.637625
0.663,1.631375
0.674,1.6685
0.686,1.70975
0.697,1.68925
0.708,1.691375
0.719,1.700875
0.73,1.582125
0.741,0.988
0.753,0.391125
0.764,1.254125
0.775,2.16625
0.786,2.3845
0.798,1.685375
0.809,1.629625
0.82,1.637875
0.831,1.612875
0.842,1.603875
0.854,1.578125
0.865,1.549
0.876,1.5205
0.887,1.500625
0.899,1.477
0.91,1.444625
0.921,1.412375
0.932,1.34575
0.944,1.32725
0.955,1.25425
0.966,1.20325
0.977,1.160125
0.988,1.125125
1.0,1.1385
1.011,1.142625
1.022,1.244375
1.033,1.357875
1.044,1.50375
1.055,1.610875
1.067,1.724625
1.078,1.782875
1.089,1.827875
1.1,1.852
1.111,1.8365
1.123,1.847625
1.134,1.840375
1.145,1.836625
1.156,1.823875
1.167,1.821625
1.179,1.8185
1.19,1.804125
1.201,1.808625
1.212,1.79225
1.224,1.8205
1.235,1.799875
1.246,1.81925
1.257,1.828875
1.268,1.826125
1.28,1.83125
1.291,1.8295
1.302,1.828125
1.313,1.810125
1.324,1.826625
1.335,1.8115
1.347,1.821125
1.358,1.8105
1.369,1.801
1.38,1.81475
1.391,1.78725
1.403,1.809375
1.414,1.7855
1.425,1.794125
1.436,1.777625
1.447,1.780375
1.459,1.780375
1.47,1.75275
1.481,1.760625
1.492,1.74075
1.503,1.769875
1.515,1.7355
1.526,1.7235
1.537,1.69025
1.548,1.635125
1.559,1.622625
1.571,1.67575
1.582,1.680625
1.593,1.660375
1.604,1.706125
1.615,1.72775
1.627,1.74225
1.638,1.723
1.649,1.70475
1.66,1.630375
1.671,1.129
1.683,0.4195
1.694,0.865875
1.705,1.9745
1.716,2.58975
1.727,1.902875
1.739,1.662875
1.75,1.644375
1.761,1.64775
1.772,1.61975
1.784,1.601875
1.795,1.554375
1.806,1.55825
1.817,1.5255
1.828,1.511375
1.84,1.463875
1.851,1.4185
1.862,1.388
1.873,1.303625
1.884,1.266
1.896,1.20825
1.907,1.158875
1.918,1.123625
1.929,1.12675
1.94,1.146375
1.951,1.208375
1.963,1.3155
1.974,1.458875
1.985,1.60925
1.996,1.717375
2.007,1.79075
2.019,1.851
2.03,1.861125
2.041,1.884125
2.053,1.8665
2.064,1.868375
2.075,1.83925
2.086,1.851
2.097,1.839875
2.109,1.841875
2.12,1.814
2.131,1.82125
2.142,1.817625
2.153,1.817125
2.164,1.82875
2.176,1.81825
2.187,1.838625
2.198,1.8425
2.211,1.844625
2.223,1.858125
2.234,1.849125
2.245,1.844875
2.256,1.836375
2.267,1.846375
2.279,1.8285
2.29,1.815125
2.301,1.8295
2.312,1.81025
2.324,1.827625
2.335,1.813375
2.346,1.808875
2.357,1.7995
2.368,1.800875
2.379,1.79325
2.39,1.782375
2.402,1.776625
2.413,1.771125
2.424,1.768125
2.435,1.73275
2.447,1.700625
2.458,1.6225
2.469,1.645875
2.48,1.69725
2.491,1.684875
2.503,1.68575
2.514,1.72125
2.525,1.75225
2.536,1.7355
2.547,1.734625
2.559,1.74575
2.57,1.599375
2.581,0.93125
2.592,0.352125
2.603,1.26825
2.614,2.289375
2.626,2.433875
2.637,1.75375
2.648,1.658625
2.659,1.665875
2.67,1.628625
2.681,1.6385
2.693,1.5775
2.704,1.57975
2.715,1.535125
2.726,1.524375
2.738,1.487
2.749,1.455625
2.76,1.422375
2.771,1.367625
2.782,1.32475
2.793,1.252625
2.805,1.197375
2.816,1.1405
2.827,1.111375
2.838,1.121875
2.849,1.1525
2.86,1.243875
2.872,1.36
2.883,1.52225
2.894,1.6395
2.905,1.75525
2.917,1.8075
2.928,1.85375
2.939,1.873625
2.95,1.858125
2.961,1.862625
2.973,1.845125
2.984,1.859375
2.995,1.82575
3.007,1.83825
3.018,1.815875
3.029,1.81375
3.04,1.816625
3.051,1.81125
3.063,1.824
3.074,1.796125
3.085,1.825
3.096,1.8125
3.108,1.8105
3.119,1.828625
3.13,1.815
3.141,1.835125
3.152,1.828375
3.164,1.820625
3.175,1.805125
3.186,1.813
3.197,1.80375
3.209,1.801625
3.22,1.802625
3.231,1.792125
3.242,1.8
3.253,1.769
3.265,1.777875
3.276,1.765
3.287,1.776
3.298,1.7605
3.309,1.74575
3.32,1.760875
3.332,1.738375
3.343,1.70525
3.354,1.647875
3.365,1.617375
3.376,1.62575
3.388,1.680125
3.399,1.66975
3.41,1.659125
3.421,1.710125
3.432,1.719125
3.444,1.744875
3.455,1.70275
3.466,1.72625
3.477,1.602625
3.488,0.912875
3.5,0.42925
3.511,1.368375
3.522,2.310375
3.533,2.348375
3.544,1.649375
3.556,1.629375
3.567,1.644375
3.578,1.609
3.589,1.59225
3.6,1.580875
3.611,1.555375
3.623,1.53275
3.634,1.491625
3.645,1.47125
3.656,1.432875
3.668,1.3925
3.679,1.344625
3.69,1.29125
3.701,1.234125
3.712,1.17325
3.724,1.144375
3.735,1.085375
3.746,1.11675
3.758,1.130875
3.769,1.220125
3.78,1.360375
3.791,1.486
3.802,1.627375
3.814,1.711375
3.825,1.7905
3.836,1.826625
3.847,1.825875
3.858,1.842375
3.87,1.827125
3.881,1.838
3.892,1.819125
3.903,1.8225
3.914,1.8055
3.926,1.808875
3.937,1.799375
3.95,1.8035
3.962,1.80775
3.973,1.788375
3.984,1.801375
3.995,1.802875
4.006,1.81275
4.018,1.824375
4.029,1.810125
4.04,1.82375
4.051,1.814625
4.063,1.82175
4.074,1.8125
4.085,1.834
4.096,1.818125
4.107,1.811
4.119,1.818
4.13,1.805875
4.141,1.8055
4.152,1.787125
4.163,1.79925
4.175,1.78025
4.186,1.7855
4.197,1.77775
4.208,1.77775
4.219,1.760625
4.23,1.7185
4.242,1.703625
4.253,1.637125
