t,v1,v2,v3,v4
0.0,0.583,0.583375,0.5825,1.748375
0.043,0.587,0.585375,0.585125,1.82325
0.084,0.58625,0.58525,0.585,1.650875
0.126,0.586,0.585625,0.5875,3.114125
0.167,0.587,0.585,0.58475,1.585125
0.209,0.58625,0.5855,0.585125,1.45475
0.25,0.586125,0.5855,0.584625,1.2405
0.291,0.58575,0.5855,0.58475,1.204875
0.333,0.586,0.5855,0.585,1.508625
0.374,0.58575,0.585625,0.585375,1.65325
0.416,0.5865,0.585625,0.58525,1.685625
0.457,0.5865,0.58525,0.585125,1.710125
0.499,0.586125,0.585375,0.58525,1.725125
0.541,0.586375,0.58525,0.585125,1.8
0.583,0.586125,0.58525,0.584875,1.226
0.624,0.58575,0.586,0.58825,2.684375
0.665,0.58675,0.58625,0.58425,1.518875
0.707,0.58625,0.585125,0.58475,1.410375
0.748,0.58625,0.5855,0.584625,1.188125
0.79,0.585875,0.5855,0.585125,1.2925
0.831,0.586125,0.585625,0.585125,1.582625
0.872,0.585875,0.585375,0.585,1.68825
0.913,0.586375,0.58525,0.585375,1.751875
0.957,0.586,0.5855,0.585375,1.79325
1.003,0.58625,0.584625,0.585125,1.745875
1.048,0.58625,0.585,0.585125,1.81025
1.092,0.585875,0.58525,0.583625,1.97825
1.136,0.58725,0.586625,0.58525,1.58975
1.18,0.588125,0.584125,0.585125,1.50875
1.224,0.5865,0.58525,0.585,1.32225
1.268,0.586375,0.585125,0.58475,1.239125
1.312,0.58575,0.585625,0.585,1.538375
1.356,0.585875,0.585375,0.585375,1.679875
1.4,0.586375,0.58525,0.58525,1.738875
1.444,0.586,0.585,0.585125,1.785125
1.488,0.58625,0.58525,0.584875,1.770625
1.532,0.586,0.585125,0.584625,1.84825
1.576,0.586375,0.5855,0.58425,1.075625
1.62,0.586,0.58575,0.5875,2.165625
1.664,0.586,0.584625,0.583875,1.630875
1.708,0.5865,0.5855,0.5845,1.524875
1.753,0.58575,0.585375,0.584375,1.345625
1.796,0.586,0.585375,0.584875,1.5565
1.84,0.586,0.58525,0.585375,1.6975
1.884,0.586125,0.585125,0.58525,1.757
1.928,0.5865,0.58525,0.584875,1.79425
1.972,0.586375,0.58525,0.584625,1.801625
2.016,0.58625,0.585125,0.585,1.86925
2.06,0.58675,0.584875,0.585125,1.854375
2.104,0.586,0.585125,0.586375,2.9545
2.148,0.587,0.585,0.584125,1.7395
2.192,0.586,0.58575,0.58475,1.6295
2.236,0.58575,0.585,0.58475,1.484125
2.28,0.586125,0.584875,0.585,1.652375
2.324,0.586375,0.585125,0.585,1.794125
2.368,0.586,0.58525,0.585,1.862375
2.412,0.5865,0.585125,0.58475,1.91025
2.456,0.58625,0.585375,0.585,1.91675
2.5,0.58625,0.584875,0.585125,1.879125
2.546,0.5865,0.58525,0.58525,1.90775
2.59,0.58575,0.5855,0.5865,3.072125
2.634,0.58725,0.585375,0.583875,1.570875
2.678,0.586125,0.58525,0.584625,1.405625
2.722,0.585875,0.58525,0.58475,1.183625
2.766,0.586125,0.584875,0.584875,1.26525
2.81,0.58625,0.58525,0.58525,1.47425
2.854,0.58575,0.585625,0.585375,1.58625
2.898,0.585875,0.58525,0.584875,1.619
2.942,0.58625,0.585125,0.58525,1.688125
2.985,0.58625,0.585125,0.584875,1.690125
3.029,0.586125,0.58525,0.58475,1.7015
3.073,0.58575,0.585125,0.586375,3.014375
3.117,0.587375,0.585125,0.5835,1.458
3.161,0.586125,0.585125,0.58525,1.331625
3.205,0.585875,0.584875,0.58475,1.109875
3.249,0.586,0.585125,0.585,1.167125
